,foodname,serving,image,calories,protein,fat,carb,sodium,fibre
901,Sue's roast lamb,6,https://img.taste.com.au/45KycGZf/w720-h480-cfill-q80/taste/2016/11/sues-roast-lamb-13495-1.jpeg,2330 kj (557cal),57.4g,19.4g,35.2g,444.1mg,1.8g
902,Squid with tomato and peas,4,https://img.taste.com.au/qHgiQQFF/w720-h480-cfill-q80/taste/2016/11/squid-with-tomato-and-peas-28665-1.jpeg,1711 kj (409cal),32.9g,17.6g,24.8g,314.2mg,5.3g
903,Quick chilli pork stir-fry,4,https://img.taste.com.au/8fVvfUmo/w720-h480-cfill-q80/taste/2017/09/quick-chilli-pork-stir-fry-130048-2.jpg,2805 kj (670cal),33.9g,36.3g,50.7g,794.7mg,6.9g
904,One-pot chicken spaghetti al limone,4,https://img.taste.com.au/WVMzwmV2/w720-h480-cfill-q80/taste/2021/11/one-pot-chicken-spaghetti-al-limone-recipe-174641-2.jpg,3726 kj (891cal),37.4g,56.8g,54.0g,346.9mg,2.1g
905,"Spinach, cheese &amp; tomato omelette",4,https://img.taste.com.au/b9svnxdS/w720-h480-cfill-q80/taste/2016/11/spinach-cheese-tomato-omelette-91188-1.jpeg,1597 kj (382cal),19.8g,31.4g,5.5g,295.5mg,1.2g
906,Wholemeal wraps with smoked ocean trout and egg and lettuce coleslaw,4,https://img.taste.com.au/JuWsREQA/w720-h480-cfill-q80/taste/2016/11/wholemeal-wraps-with-smoked-ocean-trout-and-egg-and-lettuce-coleslaw-23866-1.jpeg,1210 kj (289cal),,17g,17g,,
907,Roast lamb focaccia with tzatziki,4,https://img.taste.com.au/g4cIUm_Y/w720-h480-cfill-q80/taste/2016/11/roast-lamb-focaccia-with-tzatziki-28301-1.jpeg,5444 kj (1301cal),76.9g,73.4g,83.9g,3.1g,12.7g
908,Choc-peanut pretzel slice,24 pieces,https://img.taste.com.au/aqIcW3Eq/w720-h480-cfill-q80/taste/2016/11/choc-peanut-pretzel-slice-74212-1.jpeg,1388 kj (332cal),5.6g,22g,29.5g,288mg,1.5g
909,Roasted pumpkin and goats cheese pizza,50m,https://img.taste.com.au/bgHHXHau/w720-h480-cfill-q80/taste/2016/11/roasted-pumpkin-and-goats-cheese-pizza-81874-1.jpeg,1040 kj (249cal),10g,8.5g,33g,,3g
910,Pancake shaker impossible zucchini slice,15,https://img.taste.com.au/3fAxuUhS/w720-h480-cfill-q80/taste/2022/08/pancake-shaker-impossible-zucchini-slice-180535-1.jpg,778 kj (186cal),6.4g,12.9g,11.1g,275.8mg,0.6g
911,Chicken tikka tray bake,45m,https://img.taste.com.au/6sWxQ3i3/w720-h480-cfill-q80/taste/2022/06/chicken-tikka-tray-bake-179115-1.jpg,2562 kj (612cal),34.6g,45.6g,15g,,3.1g
